SurveyName,Surveyyear,Season,ID,Intid,Strat,Stratname,Selected,Counted,UnitID,GMU,U17A,U17TNWR,U18GNS,U18KANAROL,U18TNWR,AreaMi,centrlat,centrlon,adult,calf,unknown,datecounted,searchmin,comments,,,
TOGIAK NWR MAR 2017,2017,spring,6006-15935,3,H,HIGH,1,1,6006-15935,17B,0,1,0,0,0,6.644,60.1167,-159.6250,0,0,0,3/11/17,12,,,,
TOGIAK NWR MAR 2017,2017,spring,6000-15945,30,H,HIGH,0,0,6000-15945,18,0,0,0,0,1,6.664,60.0167,-159.7917,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5954-15930,79,H,HIGH,1,1,5954-15930,17A,1,1,0,0,0,6.684,59.9167,-159.5417,0,0,0,3/11/17,20,,,,
TOGIAK NWR MAR 2017,2017,spring,5952-15930,96,H,HIGH,0,0,5952-15930,17A,1,1,0,0,0,6.691,59.8833,-159.5417,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5952-15925,97,H,HIGH,0,0,5952-15925,17A,1,1,0,0,0,6.691,59.8833,-159.4583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5952-15920,98,H,HIGH,0,0,5952-15920,17A,1,1,0,0,0,6.691,59.8833,-159.3750,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5950-16025,107,H,HIGH,1,1,5950-16025,18,0,0,0,1,1,6.698,59.8500,-160.4583,0,0,0,3/11/17,10,,,,
TOGIAK NWR MAR 2017,2017,spring,5950-15925,119,H,HIGH,0,0,5950-15925,17A,1,1,0,0,0,6.698,59.8500,-159.4583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5948-16135,125,H,HIGH,0,0,5948-16135,18,0,0,0,1,1,6.704,59.8167,-161.6250,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5948-16130,126,H,HIGH,1,1,5948-16130,18,0,0,0,1,1,6.704,59.8167,-161.5417,4,0,0,3/11/17,45,,,,
TOGIAK NWR MAR 2017,2017,spring,5948-16125,127,H,HIGH,0,0,5948-16125,18,0,0,0,1,1,6.704,59.8167,-161.4583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5948-16120,128,H,HIGH,1,1,5948-16120,18,0,0,0,1,1,6.704,59.8167,-161.3750,2,2,0,3/11/17,18,,,,
TOGIAK NWR MAR 2017,2017,spring,5948-16115,129,H,HIGH,1,1,5948-16115,18,0,0,0,1,1,6.704,59.8167,-161.2917,5,2,0,3/11/17,16,,,,
TOGIAK NWR MAR 2017,2017,spring,5948-16110,130,H,HIGH,0,0,5948-16110,18,0,0,0,1,1,6.704,59.8167,-161.2083,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5948-15925,149,H,HIGH,0,0,5948-15925,17A,1,1,0,0,0,6.704,59.8167,-159.4583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5946-16145,153,H,HIGH,1,1,5946-16145,18,0,0,0,1,1,6.711,59.7833,-161.7917,0,0,0,3/11/17,30,,,,
TOGIAK NWR MAR 2017,2017,spring,5946-16140,154,H,HIGH,0,0,5946-16140,18,0,0,0,1,1,6.711,59.7833,-161.7083,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5946-16105,161,H,HIGH,0,0,5946-16105,18,0,0,0,1,1,6.711,59.7833,-161.1250,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5946-16045,165,H,HIGH,1,1,5946-16045,18,0,0,0,1,1,6.711,59.7833,-160.7917,6,0,0,3/11/17,18,,,,
TOGIAK NWR MAR 2017,2017,spring,5946-16040,166,H,HIGH,1,1,5946-16040,18,0,0,0,1,1,6.711,59.7833,-160.7083,2,0,0,3/11/17,19,,,,
TOGIAK NWR MAR 2017,2017,spring,5946-15930,180,H,HIGH,0,0,5946-15930,17A,1,1,0,0,0,6.711,59.7833,-159.5417,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5946-15925,181,H,HIGH,0,0,5946-15925,17A,1,1,0,0,0,6.711,59.7833,-159.4583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5944-16100,193,H,HIGH,1,1,5944-16100,18,0,0,0,1,1,6.718,59.7500,-161.0417,1,2,0,3/11/17,24,,,,
TOGIAK NWR MAR 2017,2017,spring,5944-16050,195,H,HIGH,0,0,5944-16050,18,0,0,0,1,1,6.718,59.7500,-160.8750,0,0,0,,,,,,
