Date,Moo ID,SU #,strat,Random,GMU,Adults,Calves,Unk,Total,Activity,Habitat, cover, Detected?,Crew,Notes,
11-Mar,Mar-77,490,L,1,17A,1,0,0,1,S,T,C,Y,MH/NB,cow,
11-Mar,5-Dec,165,H,1,18,5,0,0,5,S,S,C,Y,MK/MC,cow,
12-Mar,15-15,723,H,1,17A,13,4,0,17,S,S,C,Y,DP/KH,bull no ants,
12-Mar,Mar-66,1037,L,0,17A,1,0,0,1,L,S,C,N,DP/KH,cow,
12-Mar,15-Dec,972,H,1,17A,7,3,0,10,L,S,C,Y,DP/KH,cow,
12-Mar,12-Aug,972,H,1,17A,41,6,0,47,S,S,C,Y,DP/KH,cow,consolidated several small groups in close proximity into 1 large group that had 3 collars
12-Mar,10-Aug,972,H,1,17A,41,6,0,47,S,S,C,Y,DP/KH,cow,consolidated several small groups in close proximity into 1 large group that had 3 collars
12-Mar,3-Dec,972,H,1,17A,41,6,0,47,S,S,C,Y,DP/KH,cow,consolidated several small groups in close proximity into 1 large group that had 3 collars
12-Mar,11-Dec,937,H,1,17A,1,2,0,3,M,S,C,Y,DP/KH,cow,
12-Mar,13-Aug,937,H,1,17A,1,1,0,2,L,S,C,N,DP/KH,cow,
12-Mar,17-Aug,826,H,0,17A,10,0,0,10,S,S,C,Y,DP/KH,cow,
12-Mar,14-Aug,792,H,1,17A,1,2,0,3,L,S,C,Y,DP/KH,cow,
12-Mar,Mar-71,687,H,1,17A,2,0,0,2,L,S,C,Y,MK/MC,cow,
12-Mar,9-Dec,651,H,1,17A,1,0,0,1,S,S,C,N,MK/MC,cow,
12-Mar,15-13,615,H,1,17A,1,0,0,1,S,S,C,Y,MK/MC,bull no ants,
13-Mar,5-Aug,751,L,0,17A,2,0,0,2,L,T,C,Y,MK/MC,cow,
13-Mar,Mar-66,490,L,0,17A,1,0,0,1,L,T,I,N,MM/PW,cow,
13-Mar,Mar-69,550,H,0,17A,0,0,19,19,S,F,C,Y,MM/PW,cow,group was observed but collar was not
13-Mar,Mar-81,550,H,0,17A,9,0,0,9,L,F,C,Y,MM/PW,cow,group was observed but collar was not
13-Mar,6-Feb,485,L,0,17A,2,0,0,2,L,S,C,Y,MM/PW,cow,
13-Mar,15-13,615,H,0,17A,1,0,0,1,S,S,C,Y,MM/PW,"bull no ants, moose was observed but collar was not",
13-Mar,9-Dec,651,H,0,17A,5,0,0,5,S,S,C,N,MM/PW,cow,
13-Mar,13-Dec,804,H,0,17C,4,4,0,8,S,S,C,Y,DP/KH,cow,
14-Mar,2-Aug,597,H,1,18,1,0,0,1,L,S,C,Y,MK/MC,cow,moose was observed but collar was not
14-Mar,1-Aug,634,H,1,18,1,2,0,3,L,S,C,Y,MK/MC,cow,
14-Mar,13-02,814,L,0,18,2,0,0,2,L,S,C,Y,MK/MC,cow,
14-Mar,Mar-67,815,H,1,18,1,0,0,1,L,S,C,Y,MK/MC,cow,
14-Mar,6-Aug,815,H,1,18,1,2,0,3,L,S,C,Y,MK/MC,cow,
14-Mar,15-21,571,L,0,18,1,0,0,1,L,S,C,N,MM/PW,bull no ants,
14-Mar,15-03,641,L,0,18,1,1,0,2,S,S,C,Y,MM/PW,cow,
14-Mar,4-Dec,606,H,1,18,1,1,0,2,L,S,C,Y,MM/PW,cow,
14-Mar,7-Aug,846,H,1,18,1,0,0,1,S,S,C,Y,KH/DP,cow,
14-Mar,NC,846,H,1,18,0,2,0,2,L,S,C,N,KH/DP,twin calves of 08-07 <100 m away,
19-Mar,4-Dec,605,H,0,18,1,1,0,2,M,S,C,Y,MK/KH,cow,
19-Mar,15-03,605,H,0,18,1,1,0,2,L,S,C,Y,MK/KH,cow,
19-Mar,15-05,606,H,0,18,4,0,0,4,S,S,C,Y,MK/KH,cow,
19-Mar,15-21,536,L,0,18,2,0,0,2,L,S,C,Y,MK/KH,bull no ants,
19-Mar,15-24,503,H,0,18,3,0,0,3,L,S,C,Y,MK/KH,bull no ants,
19-Mar,5-Aug,786,L,0,17A,7,2,0,9,S,S,C,Y,MK/KH,cow,
19-Mar,2-Dec,1010,H,0,17A,6,0,0,6,S,S,C,Y,MK/KH,cow,
19-Mar,12-Dec,1010,H,0,17A,14,2,0,16,S,S,C,Y,MK/KH,cow,
19-Mar,Mar-77,490,L,0,17A,1,0,0,1,S,S,C,Y,MK/KH,cow,
19-Mar,Mar-66,1037,L,0,17A,1,0,0,1,L,S,C,Y,MM/PW,cow,
19-Mar,6-Aug,815,H,0,18,1,2,0,3,L,S,C,Y,MM/PW,cow,
19-Mar,Mar-67,815,H,0,18,1,0,0,1,S,S,C,Y,MM/PW,cow,
19-Mar,13-02,814,L,0,18,1,1,0,2,L,S,I,Y,MM/PW,cow,
